"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"13",643327,"Godley, Zack","13","100.0",,,"0.000",,"0.346","0.435",,"0","0","72.5","-56.0","2166","90.4","89.07","1","4","9","-1.3","5.62","106","143","108","146","300","319","292"
"12",476454,"Betances, Dellin","12","100.0","0.000","0.000","0.000","0.000","0.354","0.488","0.297","0","2","89.3","-2.5","2256","91.8","92.28","0","3","9","0.5","6.66","112","143","116","143","288","325","296"
"11",475054,"Roe, Chaz","11","100.0",,,,,"0.693","0.693",,"0","0",,,"2462","92.3","92.27","0","2","9","0.0","6.42","113","152","110","152","319","322","286"
"11",621248,"Garza Jr., Ralph","11","100.0","0.400","0.800","0.333","1.200","0.657","0.408","0.275","2","5","95.3","22.5","2266","89.5","88.67","1","5","6","-0.8","5.95","120","150","116","148","284","325","295"
"11",656186,"Altavilla, Dan","11","100.0","0.000","0.000","0.000","0.000","0.000","0.127","0.137","0","2","75.5","43.5","2352","96.1","94.74","0","7","4","-1.4","5.73","128","160","126","151","297","316","302"
"11",623354,"Zamora, Daniel","11","100.0","0.000","0.000","0.000","0.000","0.000","0.306","0.316","0","1","108.6","-16.0","2174","89.6","90.05","1","3","8","0.5","6.41","119","150","113","149","298","316","284"
"10",665759,"Rosso, Ramón","10","100.0","0.250","0.000","0.250","0.250","0.221","0.470","0.460","1","4","96.2","3.3","2519","92.4","91.98","0","5","5","-0.4","6.11","119","151","125","153","295","325","298"
"10",452678,"Cabrera, Asdrúbal","10","100.0","0.333","0.000","0.333","0.333","0.294","0.327","0.303","1","3","83.1","21.7","1625","70.0","67.76","0","4","6","-2.2","4.70","110","150","118","148","307","329","304"
"10",669459,"Nelson, Kyle","10","100.0",,,,,"0.693","0.693",,"0","0",,,"2195","92.6","92.17","1","3","7","-0.4","5.84","110","151","115","148","289","314","290"
"9",680692,"Stiever, Jonathan","9","100.0","1.000","0.000","1.000","1.000","0.883","0.865","0.923","3","3","88.3","15.0","2292","93.5","92.33","1","4","5","-1.2","5.90","118","141","120","145","298","324","296"
